run_id,avg_words_per_sentence,bullet_points_per_utterance,headings_per_utterance,sentence_complexity,lexical_diversity,formality_score,punctuation_density,output_structure_consistency,is_gemini,is_claude,is_gpt,is_llama,is_qwen,is_deepseek,is_mistral
0,13.708333333333334,0.0,0.0,8.930885471898197,0.4864864864864865,-0.00911854103343465,0.036720321931589535,0.0,0,1,0,0,0,0,0
1,14.3,0.0,0.0,8.761140350877195,0.4177777777777778,-0.05244755244755245,0.03762135922330097,0.0,0,1,0,0,0,0,0
2,13.038461538461538,0.0,0.0,7.659461946902656,0.4275092936802974,-0.029498525073746312,0.03760947964966512,0.0,0,1,0,0,0,0,0
3,12.727272727272727,0.0,0.0,8.036885919835562,0.48325358851674644,-0.07142857142857142,0.04394942805538832,0.0,0,1,0,0,0,0,0
4,14.083333333333334,2.2,0.0,8.68322297566813,0.4144486692015209,-0.03254437869822485,0.03852002027369488,0.4,0,1,0,0,0,0,0
5,11.363636363636363,0.0,0.0,7.3740447504302935,0.4692737430167598,-0.092,0.04976462676529926,0.0,0,1,0,0,0,0,0
6,13.48,0.0,0.0,8.237261904761908,0.48507462686567165,-0.02373887240356083,0.03611393692777213,0.0,0,1,0,0,0,0,0
7,13.523809523809524,0.0,0.0,8.609768570362078,0.4366812227074236,-0.045774647887323945,0.03390875462392109,0.0,0,1,0,0,0,0,0
8,13.37037037037037,1.0,0.0,9.075255930087394,0.5017301038062284,-0.0221606648199446,0.03357865685372585,0.2,0,1,0,0,0,0,0
9,12.962962962962964,0.0,0.0,9.805265838904809,0.5217391304347826,-0.03428571428571429,0.033621081326669695,0.0,0,1,0,0,0,0,0
10,11.714285714285714,0.0,0.0,9.438021680216806,0.48828125,-0.036585365853658534,0.03611517813567594,0.0,0,1,0,0,0,0,0
11,14.142857142857142,0.0,0.0,9.562500000000004,0.5063829787234042,-0.05723905723905724,0.03545301069217783,0.0,0,1,0,0,0,0,0
12,11.846153846153847,0.0,0.0,9.885394951140068,0.47520661157024796,-0.032467532467532464,0.035015447991761074,0.0,0,1,0,0,0,0,0
13,13.454545454545455,0.0,0.0,9.168571428571429,0.4870689655172414,-0.05067567567567568,0.037079292641186534,0.0,0,1,0,0,0,0,0
14,15.310344827586206,1.6,0.0,13.642298850574715,0.5646067415730337,-0.01126126126126126,0.029904699309891553,0.2,0,1,0,0,0,0,0
15,14.15625,0.0,0.0,11.053126843657818,0.5457063711911357,-0.03532008830022075,0.03206412825651302,0.0,0,1,0,0,0,0,0
16,12.521739130434783,0.0,0.0,7.62517676767677,0.3805309734513274,-0.041666666666666664,0.037575757575757575,0.0,0,1,0,0,0,0,0
17,11.826086956521738,0.0,0.0,6.979404562227444,0.44285714285714284,-0.06985294117647059,0.040364583333333336,0.0,0,1,0,0,0,0,0
18,12.96,0.0,0.0,8.661754658385096,0.49407114624505927,-0.021604938271604937,0.03773584905660377,0.0,0,1,0,0,0,0,0
19,14.285714285714286,0.0,0.0,8.661749691955645,0.3925619834710744,-0.03333333333333333,0.03399765533411489,0.0,0,1,0,0,0,0,0
20,12.608695652173912,0.0,0.0,8.268150470219439,0.41379310344827586,-0.041379310344827586,0.034688995215311005,0.0,0,1,0,0,0,0,0
21,11.826086956521738,0.0,0.0,7.763168399865819,0.45023696682464454,-0.058823529411764705,0.03860759493670886,0.0,0,1,0,0,0,0,0
22,12.833333333333334,0.0,0.0,9.209881422924902,0.4775510204081633,-0.04220779220779221,0.03389830508474576,0.0,0,1,0,0,0,0,0
23,13.416666666666666,0.0,0.0,8.27358695652174,0.4163424124513619,-0.059006211180124224,0.034759358288770054,0.0,0,1,0,0,0,0,0
24,11.653846153846153,0.0,0.0,9.35091171617162,0.47280334728033474,-0.033003300330033,0.03490870032223416,0.0,0,1,0,0,0,0,0
25,12.863636363636363,0.0,0.0,9.06274569402229,0.5357142857142857,-0.05653710247349823,0.03523194362889019,0.0,0,1,0,0,0,0,0
26,12.407407407407407,0.0,0.0,7.331976047904195,0.39097744360902253,-0.014925373134328358,0.03694068678459938,0.0,0,1,0,0,0,0,0
27,12.090909090909092,0.0,0.0,7.834103773584907,0.46153846153846156,-0.07894736842105263,0.04585427135678392,0.0,0,1,0,0,0,0,0
28,12.851851851851851,0.0,0.0,7.675144508670524,0.36594202898550726,-0.03170028818443804,0.03615651312530956,0.0,0,1,0,0,0,0,0
29,11.863636363636363,0.0,0.0,7.316153846153846,0.47959183673469385,-0.06130268199233716,0.043591411841249185,0.0,0,1,0,0,0,0,0
30,14.958333333333334,1.8,0.0,10.236211180124226,0.5051546391752577,-0.013927576601671309,0.03213786679087098,0.4,0,1,0,0,0,0,0
31,13.666666666666666,0.8,0.0,10.584835164835166,0.5608108108108109,-0.02710027100271003,0.031037414965986394,0.2,0,1,0,0,0,0,0
32,13.2,0.0,0.0,8.048043313069911,0.39097744360902253,-0.03333333333333333,0.034976152623211444,0.0,0,1,0,0,0,0,0
33,14.541666666666666,0.0,0.0,8.86366172405127,0.379182156133829,-0.05730659025787966,0.04031465093411996,0.0,0,1,0,0,0,0,0
34,16.06896551724138,5.6,0.0,13.250916187951102,0.6094182825484764,-0.015021459227467811,0.034802043422733075,0.2,0,1,0,0,0,0,0
35,14.8125,0.0,0.0,11.871331608280254,0.5248041775456919,-0.023206751054852322,0.02958956411072224,0.0,0,1,0,0,0,0,0
36,13.444444444444445,1.0,0.0,9.093960273122288,0.49828178694158076,-0.02203856749311295,0.033409610983981694,0.2,0,1,0,0,0,0,0
37,13.037037037037036,0.0,0.0,10.081267806267807,0.5197132616487455,-0.028409090909090908,0.033697632058287796,0.0,0,1,0,0,0,0,0
38,16.346153846153847,3.8,0.0,14.565985221674879,0.6029850746268657,-0.011764705882352941,0.03178897531281705,0.2,0,1,0,0,0,0,0
39,17.608695652173914,2.0,0.0,15.410621521335813,0.5880503144654088,-0.022222222222222223,0.032165832737669764,0.4,0,1,0,0,0,0,0
40,12.115384615384615,0.0,0.0,7.379873015873013,0.4153225806451613,-0.03492063492063492,0.037178786221979225,0.0,0,1,0,0,0,0,0
41,12.08695652173913,0.0,0.0,7.1695520183787345,0.4927536231884058,-0.07913669064748201,0.04503392967304133,0.0,0,1,0,0,0,0,0
42,12.413793103448276,0.8,0.0,9.75429213483146,0.5187713310580204,-0.013888888888888888,0.030343007915567283,0.2,0,1,0,0,0,0,0
43,13.791666666666666,0.0,0.0,9.81534914361001,0.47924528301886793,-0.03927492447129909,0.032305433186490456,0.0,0,1,0,0,0,0,0
44,14.958333333333334,1.8,0.0,10.236211180124226,0.5051546391752577,-0.013927576601671309,0.03213786679087098,0.4,0,1,0,0,0,0,0
45,13.62962962962963,0.8,0.0,10.529380165289258,0.559322033898305,-0.02717391304347826,0.031183255019222554,0.2,0,1,0,0,0,0,0
